编号,中文名称,其他语言名称,中文介绍,中文语音,其他语言介绍,其他语言语音
m_id,m_ch_name,m_en_name,m_ch_txt,m_ch_voice,m_en_txt,m_en_voice
2602,合断路器QF1,,,,,
2603,合断路器QF2,,,,,
2701,熔断隔离刀闸Q1001,,,,,
2702,断路器Q1002,,,,,
2703,断路器Q1003,,,,,
2704,断路器Q1041 ,,,,,
2705,断路器Q1042,,,,,
2706,断路器Q1043,,,,,
2707,断路器Q1071,,,,,
2708,断路器Q1072 ,,,,,
2709,断路器Q5001,,,,,
2710,断路器Q5002,,,,,
2711,断路器Q5003,,,,,
2712,断路器Q5004,,,,,
2713,断路器Q5031,,,,,
2714,断路器Q5032,,,,,
2715,变频传动单元控制柜指示灯,,,,,
2716,变频传动单元控制柜操作面板,,,,,
2717,控制柜按钮supplyoff,,,,,
2718,急停按钮,,,,,
2719,emergency指示灯,,,,,
2720,接地开关,,,,,
2721,控制柜按钮supplyoff,,,,,
2800,1#进线柜,,,,,
2801,合闸指示灯,,,,,
2802,分闸指示灯,,,,,
2803,备用指示灯,,,,,
2804,储能指示灯,,,,,
2805,远程本地切换旋钮,,,,,
2806,分闸合闸切换旋钮,,,,,
2807,储能旋钮,,,,,
2808,三相指示灯A,,,,,
2809,三相指示灯B,,,,,
2810,三相指示灯C,,,,,
2811,进电电源,,,,,
2812,隔离开关,,,,,
2813,储能开关,,,,,
2814,分闸开关,,,,,
2815,合闸开关,,,,,
2816,真空断路器,,,,,
2817,真空断路器,,,,,
2901,分合闸开关,,,,,
2902,手车,,,,,
2903,手车摇把,,,,,
2904,左边拉手,,,,,
2905,右边拉手,,,,,
2906,地刀,,,,,
2907,地刀摇把,,,,,
2908,柜门,,,,,
2909,分合闸指示灯,,,,,
3002,联络柜的摇把断路器,,,,,
4001,吸入压帽,,,,,
4002,吸入压盖,,,,,
4003,弹簧固定座,,,,,
4004,弹簧,,,,,
4005,阀盘,,,,,
4007,手柄工具2,,,,,
4009,摇入类工具,,,,,
4011,T形工具,,,,,
4012,阀座拔出器,,,,,
4013,阀座1（排出）,,,,,
4014,阀座2（吸入）,,,,,
4015,阀盘（排出）,,,,,
4016,弹簧（排出）,,,,,
4017,压盖（排出）,,,,,
4018,压帽（排出）,,,,,
4019,卡箍1,,,,,
4020,卡箍2,,,,,
4021,柱塞压帽,,,,,
4022,胶圈,,,,,
4023,柱塞,,,,,
4024,盘根组件,,,,,
4027,旋碟阀1,,,,,
4028,旋碟阀2,,,,,
4029,旋塞阀,,,,,
4032,柱子工具,,,,,
4033,柱塞顶入工具,,,,,
5001,电线接口1,,,,,
5002,电线接口2,,,,,
5003,电线接口3,,,,,
5004,电线接口4,,,,,
